,parent,node,branch.length,label,vesicle.x,nt.x,region.x,vesicle.y,nt.y,region.y,vesicle,nt,region,label.order
430,424,430,0.725697412569148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,409,431,2.61915781502865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,427,432,4.10512830144992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,427,433,3.99794397971795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,393,434,3.29039702774793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,393,435,1.05929991796046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,430,436,2.68189309434608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,373,437,3.13701570493574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,373,438,0.873098301181109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,405,439,3.46550803702811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,405,440,0.670462545252175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,426,441,2.81345072458015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,410,442,4.18324478750489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,421,443,0.458037601414183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
